sku,name,url_key
85936,Atarax 25 mg 25 tabletas,atarax-25-mg-25-tabletas
60305,Doraditas Tía Rosa - Bimbo - 110 g,doraditas-ta-rosa-bimbo-110-g
87785,Hepa-Merz 3 g 10 sobres,hepa-merz-3-g-10-sobres
1240,Almetec 20 mg 28 tabletas,almetec-20-mg-28-tabletas
672,Papilla Gerber Cosecha Natural Etapa 2 Zanahoria 113 g,papilla-gerber-cosecha-natural-etapa-2-zanahoria-113-g
83909,Gerber Papilla Et3 Durazno 170 g Fra,gerber-papilla-et3-durazno-170-g-fra
17396,Caladryl Clear Loción 180 ml,caladryl-clear-locin-180-ml
1076,Ducray Kelual Ds Shampoo Cuidado para Caspa Severa 100 mL,ducray-kelual-ds-shampoo-cuidado-para-caspa-severa-100-ml
243,Bengue gel Ultra 35 g,bengue-gel-ultra-35-g
85367,Neo-Melubrina 10 mg 10 comps.,neo-melubrina-10-mg-10-comps
1601,Femisan 3D 800 mg 100 mg c/3 tabletas,femisan-3d-800-mg-100-mg-c-3-tabletas
1834,Bio-Electro 24 tabletas con Paracetamol,bio-electro-24-tabletas-con-paracetamol
1253,Dimegan-D 0.05 g/0.2 g sol Ped 60 ml,dimegan-d-0-05-g-0-2-g-sol-ped-60-ml
1317,Dimegan-D 0.1g/0.4g jarabe 60 ml,dimegan-d-0-1g-0-4g-jarabe-60-ml
85901,Atarax 10 mg 30 tabletas,atarax-10-mg-30-tabletas
1239,Almetec 40 mg 28 tabletas,almetec-40-mg-28-tabletas
567,Theraflu Limón 6 unidades,theraflu-limn-6-unidades
27073,Enterogermina 100 ml 20 X 5 ml amp.,enterogermina-100-ml-20-x-5-ml-amp
1024804,Elicuis 2.5 mg c/ 20 tabletas,elicuis-2-5-mg-c-20-tabletas
1006156,Omuro 30 tabletas de 40 mg,omuro-30-tabletas-de-40-mg
341770,Daflon 20 tabletas caja,daflon-20-tabletas-caja
488410,Squirt No Ret 600 ml,squirt-no-ret-600-ml
1018748,Vessel Due F 50 cápsulas,vessel-due-f-50-cpsulas
1028372,Effezel Mr gel 0.1% 30 g,effezel-mr-gel-0-1-30-g
1000505,Karet 100 mcg 50 comps.,karet-100-mcg-50-comps
967882,B-D Jeringa 21x32 3 ml,b-d-jeringa-21x32-3-ml
1024041,Similac Etapa 2 850 g Fórmula Infantil,similac-etapa-2-850-g-frmula-infantil
174122,Pulmonarom 10 X 3 ml amp.,pulmonarom-10-x-3-ml-amp
1005456,Nexium Pediátrico granulado 10 mg 28 sobres,nexium-peditrico-granulado-10-mg-28-sobres
1003443,Nan sin Lactosa 400 g Lata,nan-sin-lactosa-400-g-lata
1016452,B-D Jeringa 1 ml 30 g X 13 mm c/ 30 uds.,b-d-jeringa-1-ml-30-g-x-13-mm-c-30-uds
1033738,"Redoxon Infantil, Vitamina C, 100 tabletas masticables, sabor Cereza, Limón, Lima-Limón",redoxon-infantil-vitamina-c-100-tabletas-masticables-sabor-cereza-limn-lima-limn
83844,Gerber Papilla Et2 Durazno 113 g Fra,gerber-papilla-et2-durazno-113-g-fra
1020679,Trayenta Duo 2.5 mg / 1000 mg 60 tabletas,trayenta-duo-2-5-mg-1000-mg-60-tabletas
868809,Tums Fte 48 tabletas,tums-fte-48-tabletas
374393,Furacin Pomada 85 g,furacin-pomada-85-g
1005771,Respira Mejor Tiras Nasales Pnorm 10 uds.,respira-mejor-tiras-nasales-pnorm-10-uds
834971,Ciruelax 20 comps.,ciruelax-20-comps
1021799,Alfamino Fórmula para Lactantes con Necesidades Especiales de Nutrición 400 g,alfamino-frmula-para-lactantes-con-necesidades-especiales-de-nutricin-400-g
293113,Pantozol 40 mg 14 grageas,pantozol-40-mg-14-grageas
991449,Cardispan c/20 tabletas masticables,cardispan-c-20-tabletas-masticables
166545,"Bepanthen® Pomada Protectora contra Rozaduras, Dexpanthenol 5 %, 30 g",bepanthen-pomada-protectora-contra-rozaduras-dexpanthenol-5-30-g
420,Zintrepid 10 mg / 20 mg 28 comps.,zintrepid-10-mg-20-mg-28-comps
143537,Antiflu-Des Pediátrico 30 ml,antiflu-des-peditrico-30-ml
689181,Pepto Bismol Bismol 24 tabletas,pepto-bismol-bismol-24-tabletas
50806,Tobrex 0.3 g 5 ml gotas,tobrex-0-3-g-5-ml-gotas
226386,Imuran 50 mg 25 tabletas,imuran-50-mg-25-tabletas
34312,A-S-COR 1 g 24 mL,a-s-cor-1-g-24-ml
1004552,Nesquik Nestlé Paleta Chocolate 70 ml,nesquik-nestl-paleta-chocolate-70-ml
591408,Sies 200 mg c/20 cápsulas,sies-200-mg-c-20-cpsulas
1036702,Durex Condones Retardante c/18 pzas.,durex-condones-retardante-c-18-pzas
678805,Vantal Bucofaringeo solución 360 ml,vantal-bucofaringeo-solucin-360-ml
448265,Actron 600 mg 30 cápsulas,actron-600-mg-30-cpsulas
512109,Trazidex Ofteno 3 / 1 mg 5 ml gotas,trazidex-ofteno-3-1-mg-5-ml-gotas
950645,Espacil Compuesto cápsulas c/20,espacil-compuesto-cpsulas-c-20
321273,Zyloprim 300 mg 60 tabletas,zyloprim-300-mg-60-tabletas
1032794,Jardianz Duo 5 mg / 850 mg 60 tabletas,jardianz-duo-5-mg-850-mg-60-tabletas
338850,Jabón Líquido Corporal Dial Exfoliante 354 ml,jabn-lquido-corporal-dial-exfoliante-354-ml
303372,Bimbo Roles Canela c/2 120 g,bimbo-roles-canela-c-2-120-g
876178,Losec A Omeprazol 20 mg 14 cápsulas,losec-a-omeprazol-20-mg-14-cpsulas
339962,Canesten® 20 g,canesten-20-g
1010818,Afrin® No Drip Cse - 15 ml,afrin-no-drip-cse-15-ml
1036060,Ateka 16 comp,ateka-16-comp
1001145,Hepa-Merz 3g 30 sobres,hepa-merz-3g-30-sobres
645753,Dicynone 500mg 4 amp.olletas,dicynone-500mg-4-amp-olletas
1036317,Mucoangin Limón 20 mg 18 pastillas,mucoangin-limn-20-mg-18-pastillas
1008143,Crema Corporal Lubriderm Reparación Intensiva 400 ml,crema-corporal-lubriderm-reparacin-intensiva-400-ml
348511,Ficonax 1 g tabletas 1X30,ficonax-1-g-tabletas-1x30
1000046,Advil Max 400 mg 10 cápsulas,advil-max-400-mg-10-cpsulas
905097,Silka Medic gel antimicótico 30 g,silka-medic-gel-antimictico-30-g
185183,Malival AP cápsulas c/28,malival-ap-cpsulas-c-28
1005857,Elatec 500 mg 30 grageas,elatec-500-mg-30-grageas
1035051,"Flanax® Nocto, 20 comps.",flanax-nocto-20-comps
177547,Eternal Vitamina E 400UI 30 cápsulas,eternal-vitamina-e-400ui-30-cpsulas
1037135,Sinergix tabletas sublingual con 10,sinergix-tabletas-sublingual-con-10
736724,Pepto Bismol Bismol 236 ml susp.,pepto-bismol-bismol-236-ml-susp
237299,Nuvaring 1 Anillo Vaginal,nuvaring-1-anillo-vaginal
1018646,Redevant 2 mg 28 tabletas,redevant-2-mg-28-tabletas
1024802,Elicuis 5 mg c/ 60 tabletas,elicuis-5-mg-c-60-tabletas
1038041,Monolatan 50 mcg/ml 6 sobres,monolatan-50-mcg-ml-6-sobres
1008637,Pañales Kiddies Antifugas Etapa 5 40 uds.,paales-kiddies-antifugas-etapa-5-40-uds
1034066,Fabe Sulfatiazol 10 g polvo,fabe-sulfatiazol-10-g-polvo
1033501,Picot Adv suspensión 10 ml sabor Menta c/12 pza.,picot-adv-suspensin-10-ml-sabor-menta-c-12-pza
278033,Zaldiar 37.5mg 20 tabletas,zaldiar-37-5mg-20-tabletas
1025136,Gargax solución Bucofaríngea 60 ml,gargax-solucin-bucofarngea-60-ml
1007557,Coca Cola Ligth No Ret 1L,coca-cola-ligth-no-ret-1l
141259,Bonadoxina jarabe 120 ml,bonadoxina-jarabe-120-ml
816124,Relpax 40 mg 2 tabletas,relpax-40-mg-2-tabletas
1037758,Cerave Loción Hidratante de Rostro FPS25 52 ml Hidratante Facial Diario con Protector Solar Libre de Fragancia,cerave-locin-hidratante-de-rostro-fps25-52-ml-hidratante-facial-diario-con-protector-solar-libre-de-fragancia
414182,Evipress 10 mg c/10 tabletas,evipress-10-mg-c-10-tabletas
853615,Danzen 20 tabletas,danzen-20-tabletas
848522,Dynastat 40 mg sol Iny 2 ml,dynastat-40-mg-sol-iny-2-ml
1023341,Pezzil® 5 mg 28 tabletas,pezzil-5-mg-28-tabletas
1011367,Diapro Pañal Predoblado gel 10 uds.,diapro-paal-predoblado-gel-10-uds
92134,Macrodantina 100 mg 40 cápsulas,macrodantina-100-mg-40-cpsulas
